variety,type,origin,alpha,beta,cohumulone,myrcene,caryophyllene,humulene,farnesene,total_oil,aroma
Motueka,Aroma,New Zealand,6.5,5,29,48,2,3,12.2,0,lemon
Motueka,Aroma,New Zealand,6.5,5,29,48,2,3,12.2,0,lime
Motueka,Aroma,New Zealand,6.5,5,29,48,2,3,12.2,0,tropical
Motueka,Aroma,New Zealand,6.5,5,29,48,2,3,12.2,0,fruit
Mount Hood,Aroma,United States,6.5,6,22.5,60,8.5,20,0.5,1,herbal
Mount Hood,Aroma,United States,6.5,6,22.5,60,8.5,20,0.5,1,pungent
Mount Hood,Aroma,United States,6.5,6,22.5,60,8.5,20,0.5,1,spicy
Pacific Hallertau,Aroma,New Zealand,5.5,6.5,24,45,9.5,27.5,0.5,1.5,citrusy
Pacific Hallertau,Aroma,New Zealand,5.5,6.5,24,45,9.5,27.5,0.5,1.5,spicy
Pacific Hallertau,Aroma,New Zealand,5.5,6.5,24,45,9.5,27.5,0.5,1.5,orange
Pacific Hallertau,Aroma,New Zealand,5.5,6.5,24,45,9.5,27.5,0.5,1.5,floral
Pacifica,Aroma,New Zealand,5.5,5.5,25,12.5,16,50.5,0.5,0.5,orange
Pacifica,Aroma,New Zealand,5.5,5.5,25,12.5,16,50.5,0.5,0.5,zest
Pacifica,Aroma,New Zealand,5.5,5.5,25,12.5,16,50.5,0.5,0.5,marmalade
Pacifica,Aroma,New Zealand,5.5,5.5,25,12.5,16,50.5,0.5,0.5,classic
Pacifica,Aroma,New Zealand,5.5,5.5,25,12.5,16,50.5,0.5,0.5,hallertau
Pacifica,Aroma,New Zealand,5.5,5.5,25,12.5,16,50.5,0.5,0.5,floral
Palisade®,Aroma,United States,8,6.5,27,48.5,12,15,NA,1,apricot
Palisade®,Aroma,United States,8,6.5,27,48.5,12,15,NA,1,grass
Palisade®,Aroma,United States,8,6.5,27,48.5,12,15,NA,1,floral
Riwaka,Aroma,New Zealand,5,4.5,32,68,3.5,8.5,0.5,1,powerful
Riwaka,Aroma,New Zealand,5,4.5,32,68,3.5,8.5,0.5,1,tropical
Riwaka,Aroma,New Zealand,5,4.5,32,68,3.5,8.5,0.5,1,passionfruit
Riwaka,Aroma,New Zealand,5,4.5,32,68,3.5,8.5,0.5,1,grapefruit
Riwaka,Aroma,New Zealand,5,4.5,32,68,3.5,8.5,0.5,1,citrus
Saaz,Aroma,Czech Republic,3.5,3.5,27.5,22.5,11,42.5,8,0,earth
Saaz,Aroma,Czech Republic,3.5,3.5,27.5,22.5,11,42.5,8,0,herbal
Saaz,Aroma,Czech Republic,3.5,3.5,27.5,22.5,11,42.5,8,0,floral
Saaz,Aroma,Czech Republic,3.5,3.5,27.5,22.5,11,42.5,8,0,noble
Saaz Triploid B,Aroma,New Zealand,7,5,28.5,70,1.5,2,10,1.5,citrus
Saaz Triploid B,Aroma,New Zealand,7,5,28.5,70,1.5,2,10,1.5,tropical
Saaz Triploid B,Aroma,New Zealand,7,5,28.5,70,1.5,2,10,1.5,fruit
Santiam,Aroma,United States,6,7,23,31.5,7.5,24.5,15,1,pepper
Santiam,Aroma,United States,6,7,23,31.5,7.5,24.5,15,1,floral
Santiam,Aroma,United States,6,7,23,31.5,7.5,24.5,15,1,spice
