file_name,drive_id,volume,issue
Heavy Metal v23 05 (1999).cbz,1kNGgwO0VoUYxb7WZqAZQnJc4lOjA4tlP,23,5
Heavy Metal v23 06 (2000-01) (c2c) (Lazarus %26 Bluenaga).cbz,1IA-l67CfR44gVnM9ugZJn6lDfLJuJemE,23,6
Heavy Metal v24 01 (2000).cbr,1arjbAm_yMr4-RmHasmum5Oz8mi1y2yNN,24,1
Heavy Metal v24 02 (2000) (null-DCP).cbz,1_CvXQQwn5dPaBUwWW5joiRWCJTveK96v,24,2
Heavy Metal v24 03 (2000-07) (c2c) (Lazarus-DCP).cbz,1M2sL1IdKRb931HkL8wHpfY9r1BlZTb3d,24,3
Heavy Metal v24 04 (2000-09) (MetalMammoth).cbr,1rIHRb6cm_XnGxijDj23YkeXhQPZ7KRJL,24,4
Heavy Metal v24 05 (2000).cbr,14310j011Qti5ncZlBNNLDBkmPT-lkhoE,24,5
Heavy Metal v24 06 (2001-01) (MetalMammoth).cbr,1AI26oT4q6aIcfHNzJFjgNaSWAgBPC-jZ,24,6
Heavy Metal v25 01 (2001) (Humperdido).cbr,1ch4_iwTekYsSZBWa3J2dlSjyrh2cTak_,25,1
Heavy Metal v25 002 (2001) (null-DCP).cbz,1fboftQGfo7Cu2jnf_jTOaEp10Wj4XG5H,25,2
Heavy Metal v25 03 (2001) (Humperdido).cbr,1o46qIfipN_k84Q_0vufQA_Tdp2uLwGbu,25,3
Heavy Metal v25 04 (2001) (Humperdido).cbr,1OfkxNTSWTPAQ9sM-Y9iMqcF3kvw1xIF8,25,4
Heavy Metal v25 05 (2001) (Humperdido).cbr,1KKhFio9BhDYZGfDpfYVJbAILRZszO8Ji,25,5
Heavy Metal v25 06 (2002) (Humperdido).cbr,1ebh_GDlNFqDfcBLajtWFIPM1kbGd-Bc4,25,6
Heavy Metal v26 01 (2002).cbr,1wWlKVefG4LGBtdx-JxmbsSAKAMlMcZ_2,26,1
Heavy Metal v26 02 (2002).cbr,1mwdiYisi4U7bUE6uy2jNBw0sIoa-fWL9,26,2
Heavy Metal v26 03 (2002).cbr,11u1ruEVTdkYoUZwXxNqG8xGR7Yfww7Mi,26,3
